H,R,T
hpo-03640,associate,gene-03813
hpo-03640,associate,hpo-03461
hpo-03640,associate,hpo-04112
hpo-03640,cause,gene-03820
hpo-03640,cause,gene-05836
hpo-03640,cause,hpo-03858
hpo-03640,cause,hpo-03897
hpo-03640,cause,hpo-03925
hpo-03640,cause,hpo-04198
hpo-03640,cause,hpo-12834
hpo-03640,cause,hpo-13219
hpo-03640,contain,disease-2245
hpo-03640,identifi,hpo-12834
hpo-03640,mutate,gene-03640
hpo-03640,mutate,gene-05502
hpo-03640,observe,hpo-03925
hpo-03640,risk,gene-03640
hpo-03640,risk,gene-05502
hpo-03640,risk,hpo-03726
hpo-03640,show,hpo-12834
hpo-03642,affect,hpo-03925
hpo-03642,associate,gene-01365
hpo-03642,associate,gene-01868
hpo-03642,associate,gene-05719
hpo-03642,associate,gene-05721
hpo-03642,associate,gene-16091
hpo-03642,associate,hpo-03906
hpo-03642,associate,hpo-03925
hpo-03642,cause,hpo-03570
hpo-03642,cause,hpo-03925
hpo-03642,change,hpo-03925
hpo-03642,change,hpo-12834
hpo-03642,contain,gene-03640
hpo-03642,demonstr,hpo-12834
hpo-03642,develop,hpo-03925
hpo-03642,have,hpo-05562
hpo-03642,increase,hpo-03646
hpo-03642,increase,hpo-03930
hpo-03642,increase,small_molecule-24878
hpo-03642,risk,hpo-03858
hpo-03642,show,hpo-07173
hpo-03646,associate,hpo-03722
hpo-03646,associate,hpo-03925
hpo-03646,associate,small_molecule-36530
hpo-03646,cause,gene-09014
hpo-03646,cause,hpo-03897
hpo-03646,cause,hpo-12407
hpo-03646,cause,hpo-13074
hpo-03646,change,hpo-03925
hpo-03646,consist,hpo-03420
hpo-03646,consist,hpo-03925
hpo-03646,consist,hpo-12857
hpo-03646,consist,small_molecule-13681
hpo-03646,enhance,gene-08049
hpo-03646,enhance,small_molecule-35349
hpo-03646,expression,gene-13933
hpo-03646,expression,protein-16617
hpo-03646,feature,gene-04230
hpo-03646,feature,hpo-03528
hpo-03646,feature,hpo-03634
hpo-03646,improve,drug-01025
hpo-03646,increase,small_molecule-09831
hpo-03646,inhibit,gene-05661
hpo-03646,occur,hpo-12857
hpo-03646,reduce,drug-00688
hpo-03646,regulate,protein-03019
hpo-03646,regulate,small_molecule-00413
hpo-03646,regulate,small_molecule-56954
hpo-03646,reverse,small_molecule-21610
hpo-03646,show,hpo-03634
hpo-03646,treat,small_molecule-53078
hpo-03647,observe,hpo-03925
hpo-03656,feature,gene-05721
hpo-03680,affect,hpo-03461
hpo-03680,cause,hpo-12665
hpo-03680,show,gene-02322
hpo-03684,associate,small_molecule-11474
hpo-03684,cause,gene-03751
hpo-03684,cause,gene-07313
hpo-03697,cause,gene-04402
hpo-03697,cause,hpo-03925
hpo-03702,observe,gene-05815
hpo-03706,develop,hpo-13006
hpo-03719,show,disease-3328
hpo-03719,show,gene-02183
hpo-03719,show,hpo-07611
hpo-03719,show,hpo-08042
hpo-03720,associate,hpo-08279
hpo-03720,associate,protein-03518
hpo-03720,predict,hpo-03925
hpo-03722,inhibit,small_molecule-07262
hpo-03726,associate,gene-02743
hpo-03726,associate,hpo-03925
hpo-03726,cause,hpo-03043
hpo-03726,cause,hpo-03461
hpo-03726,cause,hpo-10147
hpo-03726,cause,small_molecule-21434
hpo-03726,encode,gene-02524
hpo-03726,expression,gene-05708
hpo-03726,feature,hpo-02571
hpo-03726,feature,hpo-04345
hpo-03726,feature,hpo-09935
hpo-03726,generate,small_molecule-08677
hpo-03726,initi,hpo-10098
hpo-03726,marker,small_molecule-09025
hpo-03726,reduce,gene-02176
hpo-03726,treat,drug-01120
hpo-03735,cause,hpo-13612
hpo-03747,associate,hpo-03925
hpo-03747,associate,hpo-13301
hpo-03747,associate,protein-03030
hpo-03747,associate,small_molecule-00413
hpo-03747,associate,small_molecule-02847
hpo-03747,associate,small_molecule-18558
hpo-03747,cause,hpo-03925
hpo-03747,cause,small_molecule-35204
hpo-03747,detect,gene-16045
hpo-03747,expression,drug-10882
hpo-03747,identifi,hpo-00508
hpo-03747,identifi,hpo-01154
hpo-03747,phosphorylation,gene-02151
hpo-03747,produce,drug-13065
hpo-03747,reduce,gene-05664
hpo-03747,show,gene-03014
hpo-03747,treat,small_molecule-00636
hpo-03751,associate,drug-09951
hpo-03751,associate,gene-01630
hpo-03751,associate,gene-03844
hpo-03751,associate,gene-04314
hpo-03751,associate,protein-03019
hpo-03751,cause,small_molecule-11291
hpo-03751,change,gene-00158
hpo-03751,change,gene-00244
hpo-03751,change,gene-01231
hpo-03751,change,gene-03237
hpo-03751,change,gene-03466
hpo-03751,change,gene-04322
hpo-03751,change,gene-05650
hpo-03751,change,gene-11607
hpo-03751,change,protein-05110
hpo-03751,change,protein-07322
hpo-03751,differenti,gene-03237
hpo-03751,differenti,gene-03343
hpo-03751,differenti,gene-04322
hpo-03751,expression,gene-13933
hpo-03751,have,gene-03343
hpo-03751,increase,gene-01630
hpo-03751,patholog,hpo-12839
hpo-03751,regulate,hpo-03925
hpo-03751,regulate,protein-04156
hpo-03752,expression,gene-00153
hpo-03752,feature,hpo-00560
hpo-03752,feature,hpo-01489
hpo-03752,feature,hpo-05006
hpo-03752,feature,hpo-09814
hpo-03752,identifi,gene-03297
hpo-03759,cause,hpo-03461
hpo-03759,cause,hpo-03803
hpo-03760,control,hpo-04198
hpo-03760,gene,gene-00554
hpo-03770,contain,hpo-04345
hpo-03772,increase,hpo-06796
hpo-03772,increase,small_molecule-00413
hpo-03803,activate,small_molecule-56954
hpo-03803,cause,gene-04727
hpo-03803,cause,gene-05465
hpo-03803,cause,hpo-03747
hpo-03803,cause,hpo-03925
hpo-03803,cause,hpo-13003
hpo-03803,cause,hpo-13128
hpo-03803,cause,small_molecule-00413
hpo-03803,cause,small_molecule-08566
hpo-03803,enhance,hpo-03549
hpo-03803,enhance,small_molecule-10507
hpo-03803,increase,gene-01331
hpo-03803,increase,gene-05627
hpo-03803,increase,small_molecule-03354
hpo-03803,increase,small_molecule-08374
hpo-03803,inhibit,hpo-03528
hpo-03803,patholog,hpo-03925
hpo-03803,treat,gene-05470
hpo-03833,associate,gene-03042
hpo-03833,associate,gene-03067
hpo-03833,associate,hpo-03850
hpo-03833,cause,gene-03038
hpo-03833,cause,gene-03067
hpo-03833,change,hpo-13310
hpo-03833,feature,hpo-13310
hpo-03833,occur,drug-00895
hpo-03850,associate,disease-1745
hpo-03850,associate,gene-03067
hpo-03850,associate,small_molecule-21258
hpo-03851,affect,drug-05863
hpo-03851,affect,small_molecule-45268
hpo-03851,cause,small_molecule-03401
hpo-03851,increase,gene-05708
hpo-03854,associate,hpo-03858
hpo-03854,associate,hpo-03897
hpo-03854,associate,hpo-03925
hpo-03854,associate,hpo-12857
hpo-03856,associate,gene-00651
hpo-03856,associate,hpo-03925
hpo-03856,cause,drug-12428
hpo-03856,cause,hpo-00071
hpo-03856,cause,small_molecule-01190
hpo-03856,cause,small_molecule-10191
hpo-03856,cause,small_molecule-13681
hpo-03856,increase,drug-12736
hpo-03858,affect,gene-00647
hpo-03858,affect,gene-02508
hpo-03858,affect,hpo-03925
hpo-03858,affect,hpo-04112
hpo-03858,associate,hpo-03834
hpo-03858,associate,hpo-03925
hpo-03858,associate,small_molecule-10507
hpo-03858,associate,small_molecule-53521
hpo-03858,cause,gene-02478
hpo-03858,cause,hpo-02556
hpo-03858,cause,hpo-03891
hpo-03858,cause,hpo-03925
hpo-03858,cause,hpo-04112
hpo-03858,cause,hpo-10187
hpo-03858,cause,small_molecule-06649
hpo-03858,cause,small_molecule-11291
hpo-03858,cause,small_molecule-12165
hpo-03858,develop,small_molecule-10507
hpo-03858,encode,small_molecule-01190
hpo-03858,feature,hpo-03925
hpo-03858,increase,hpo-03925
hpo-03858,increase,hpo-04112
hpo-03858,inhibit,gene-05353
hpo-03858,maintain,hpo-03891
hpo-03858,prevent,gene-03229
hpo-03858,regulate,hpo-03925
hpo-03858,risk,hpo-02556
hpo-03858,risk,hpo-03925
hpo-03858,transloc,small_molecule-02847
hpo-03861,cause,hpo-03897
hpo-03862,demonstr,gene-05511
hpo-03862,develop,hpo-12817
hpo-03871,control,gene-11162
hpo-03871,marker,small_molecule-44523
hpo-03878,associate,disease-3237
hpo-03878,found,hpo-13354
hpo-03891,associate,small_molecule-11291
hpo-03891,cause,disease-3797
hpo-03891,cause,hpo-03925
hpo-03891,change,gene-02176
hpo-03891,feature,drug-10679
hpo-03891,observe,small_molecule-08347
hpo-03891,occur,drug-01179
hpo-03891,potenti,small_molecule-02452
hpo-03891,predict,hpo-13310
hpo-03891,reduce,hpo-03925
hpo-03891,treat,gene-14570
hpo-03895,cause,disease-0411
hpo-03895,cause,disease-3797
hpo-03895,initi,small_molecule-08566
hpo-03896,mutate,gene-03042
hpo-03897,activate,gene-19273
hpo-03897,associate,drug-01179
hpo-03897,associate,hpo-03858
hpo-03897,associate,hpo-03925
hpo-03897,associate,hpo-04141
hpo-03897,associate,hpo-13346
hpo-03897,cause,hpo-03858
hpo-03897,cause,hpo-03925
hpo-03897,differenti,small_molecule-02847
hpo-03897,increase,hpo-03214
hpo-03897,increase,hpo-12817
hpo-03897,increase,small_molecule-08654
hpo-03897,inhibit,drug-01179
hpo-03897,occur,hpo-03925
hpo-03897,occur,hpo-04141
hpo-03897,show,gene-05736
hpo-03897,show,hpo-04112
hpo-03901,observe,gene-01435
hpo-03912,show,hpo-03923
hpo-03920,develop,hpo-03925
hpo-03920,develop,hpo-13593
hpo-03925,act,gene-00292
hpo-03925,act,gene-01655
hpo-03925,act,gene-08552
hpo-03925,act,gene-14569
hpo-03925,act,small_molecule-00413
hpo-03925,act,small_molecule-10748
hpo-03925,activate,gene-00298
hpo-03925,activate,gene-01123
hpo-03925,activate,gene-02889
hpo-03925,activate,gene-02891
hpo-03925,activate,gene-03841
hpo-03925,activate,gene-04192
hpo-03925,activate,gene-05353
hpo-03925,activate,gene-05708
hpo-03925,activate,protein-03019
hpo-03925,activate,protein-04628
hpo-03925,activate,small_molecule-00413
hpo-03925,activate,small_molecule-10662
hpo-03925,activate,small_molecule-27940
hpo-03925,affect,disease-8865
hpo-03925,affect,drug-00670
hpo-03925,affect,drug-01181
hpo-03925,affect,drug-08177
hpo-03925,affect,drug-09951
hpo-03925,affect,gene-02231
hpo-03925,affect,gene-04570
hpo-03925,affect,gene-14179
hpo-03925,affect,hpo-06791
hpo-03925,affect,hpo-10178
hpo-03925,affect,hpo-12857
hpo-03925,affect,hpo-12941
hpo-03925,affect,hpo-12942
hpo-03925,affect,small_molecule-05128
hpo-03925,affect,small_molecule-12429
hpo-03925,affect,small_molecule-12487
hpo-03925,associate,disease-0279
hpo-03925,associate,drug-00358
hpo-03925,associate,drug-00425
hpo-03925,associate,drug-01326
hpo-03925,associate,drug-04111
hpo-03925,associate,drug-09719
hpo-03925,associate,drug-11123
hpo-03925,associate,gene-00167
hpo-03925,associate,gene-00175
hpo-03925,associate,gene-00184
hpo-03925,associate,gene-00704
hpo-03925,associate,gene-00928
hpo-03925,associate,gene-01215
hpo-03925,associate,gene-01413
hpo-03925,associate,gene-01417
hpo-03925,associate,gene-02145
hpo-03925,associate,gene-02816
hpo-03925,associate,gene-02889
hpo-03925,associate,gene-02922
hpo-03925,associate,gene-03240
hpo-03925,associate,gene-03815
hpo-03925,associate,gene-04200
hpo-03925,associate,gene-04314
hpo-03925,associate,gene-04428
hpo-03925,associate,gene-04831
hpo-03925,associate,gene-04960
hpo-03925,associate,gene-05165
hpo-03925,associate,gene-05191
hpo-03925,associate,gene-05644
hpo-03925,associate,gene-05708
hpo-03925,associate,gene-05736
hpo-03925,associate,gene-07438
hpo-03925,associate,gene-07573
hpo-03925,associate,gene-07818
hpo-03925,associate,gene-07980
hpo-03925,associate,gene-08134
hpo-03925,associate,gene-08552
hpo-03925,associate,gene-08579
hpo-03925,associate,gene-09014
hpo-03925,associate,gene-11162
hpo-03925,associate,hpo-02537
hpo-03925,associate,hpo-02571
hpo-03925,associate,hpo-02723
hpo-03925,associate,hpo-03165
hpo-03925,associate,hpo-03632
hpo-03925,associate,hpo-03634
hpo-03925,associate,hpo-03834
hpo-03925,associate,hpo-04198
hpo-03925,associate,hpo-05246
hpo-03925,associate,hpo-08279
hpo-03925,associate,hpo-08335
hpo-03925,associate,hpo-09475
hpo-03925,associate,hpo-09697
hpo-03925,associate,hpo-09698
hpo-03925,associate,hpo-12248
hpo-03925,associate,hpo-12817
hpo-03925,associate,hpo-12824
hpo-03925,associate,hpo-12834
hpo-03925,associate,hpo-12857
hpo-03925,associate,hpo-12945
hpo-03925,associate,hpo-12950
hpo-03925,associate,hpo-13073
hpo-03925,associate,hpo-13074
hpo-03925,associate,hpo-13303
hpo-03925,associate,protein-03357
hpo-03925,associate,protein-04460
hpo-03925,associate,protein-07923
hpo-03925,associate,small_molecule-02847
hpo-03925,associate,small_molecule-03832
hpo-03925,associate,small_molecule-08347
hpo-03925,associate,small_molecule-08470
hpo-03925,associate,small_molecule-08654
hpo-03925,associate,small_molecule-10100
hpo-03925,associate,small_molecule-11474
hpo-03925,associate,small_molecule-12347
hpo-03925,associate,small_molecule-13812
hpo-03925,associate,small_molecule-14388
hpo-03925,associate,small_molecule-18558
hpo-03925,associate,small_molecule-21893
hpo-03925,associate,small_molecule-27179
hpo-03925,associate,small_molecule-36357
hpo-03925,associate,small_molecule-36920
hpo-03925,associate,small_molecule-54495
hpo-03925,bind,gene-08208
hpo-03925,cause,disease-0285
hpo-03925,cause,disease-3797
hpo-03925,cause,drug-00358
hpo-03925,cause,drug-00402
hpo-03925,cause,drug-00628
hpo-03925,cause,drug-04641
hpo-03925,cause,drug-09719
hpo-03925,cause,drug-13490
hpo-03925,cause,gene-00059
hpo-03925,cause,gene-00133
hpo-03925,cause,gene-00175
hpo-03925,cause,gene-01128
hpo-03925,cause,gene-01858
hpo-03925,cause,gene-01929
hpo-03925,cause,gene-02693
hpo-03925,cause,gene-03038
hpo-03925,cause,gene-03173
hpo-03925,cause,gene-03385
hpo-03925,cause,gene-03446
hpo-03925,cause,gene-03841
hpo-03925,cause,gene-03842
hpo-03925,cause,gene-04197
hpo-03925,cause,gene-05230
hpo-03925,cause,gene-05736
hpo-03925,cause,gene-07270
hpo-03925,cause,hpo-03461
hpo-03925,cause,hpo-03528
hpo-03925,cause,hpo-03630
hpo-03925,cause,hpo-03632
hpo-03925,cause,hpo-03634
hpo-03925,cause,hpo-03642
hpo-03925,cause,hpo-03803
hpo-03925,cause,hpo-04112
hpo-03925,cause,hpo-08279
hpo-03925,cause,hpo-08335
hpo-03925,cause,hpo-09470
hpo-03925,cause,hpo-09475
hpo-03925,cause,hpo-09698
hpo-03925,cause,hpo-10098
hpo-03925,cause,hpo-12544
hpo-03925,cause,hpo-12640
hpo-03925,cause,hpo-12817
hpo-03925,cause,hpo-12819
hpo-03925,cause,hpo-12834
hpo-03925,cause,hpo-12857
hpo-03925,cause,hpo-12858
hpo-03925,cause,hpo-12952
hpo-03925,cause,hpo-13074
hpo-03925,cause,hpo-13263
hpo-03925,cause,hpo-13301
hpo-03925,cause,hpo-13303
hpo-03925,cause,hpo-13515
hpo-03925,cause,hpo-13581
hpo-03925,cause,protein-03073
hpo-03925,cause,protein-14286
hpo-03925,cause,small_molecule-02516
hpo-03925,cause,small_molecule-02847
hpo-03925,cause,small_molecule-03251
hpo-03925,cause,small_molecule-03459
hpo-03925,cause,small_molecule-05046
hpo-03925,cause,small_molecule-05128
hpo-03925,cause,small_molecule-05736
hpo-03925,cause,small_molecule-08470
hpo-03925,cause,small_molecule-08654
hpo-03925,cause,small_molecule-09026
hpo-03925,cause,small_molecule-11474
hpo-03925,cause,small_molecule-12461
hpo-03925,cause,small_molecule-17713
hpo-03925,cause,small_molecule-18558
hpo-03925,cause,small_molecule-21610
hpo-03925,cause,small_molecule-27179
hpo-03925,cause,small_molecule-55037
hpo-03925,cause,small_molecule-55907
hpo-03925,change,drug-01120
hpo-03925,change,drug-01329
hpo-03925,change,drug-08462
hpo-03925,change,gene-00608
hpo-03925,change,gene-00942
hpo-03925,change,gene-01619
hpo-03925,change,gene-01757
hpo-03925,change,gene-02494
hpo-03925,change,gene-03037
hpo-03925,change,gene-03634
hpo-03925,change,gene-03665
hpo-03925,change,gene-05353
hpo-03925,change,gene-05719
hpo-03925,change,gene-08552
hpo-03925,change,hpo-00016
hpo-03925,change,hpo-00477
hpo-03925,change,hpo-03642
hpo-03925,change,hpo-12834
hpo-03925,change,hpo-12857
hpo-03925,change,hpo-12945
hpo-03925,change,hpo-13303
hpo-03925,change,hpo-13631
hpo-03925,change,small_molecule-08470
hpo-03925,change,small_molecule-11284
hpo-03925,change,small_molecule-11583
hpo-03925,change,small_molecule-12347
hpo-03925,change,small_molecule-12699
hpo-03925,change,small_molecule-24878
hpo-03925,change,small_molecule-55905
hpo-03925,conside,hpo-07332
hpo-03925,contain,gene-09401
hpo-03925,contain,hpo-03632
hpo-03925,contain,hpo-07538
hpo-03925,contain,hpo-08053
hpo-03925,control,drug-00559
hpo-03925,control,gene-00083
hpo-03925,control,hpo-13074
hpo-03925,control,small_molecule-08347
hpo-03925,control,small_molecule-55905
hpo-03925,demonstr,gene-04230
hpo-03925,depend,drug-01329
hpo-03925,depend,gene-00130
hpo-03925,depend,gene-02057
hpo-03925,depend,gene-02646
hpo-03925,detect,drug-04111
hpo-03925,detect,gene-02322
hpo-03925,detect,protein-05266
hpo-03925,detect,small_molecule-06845
hpo-03925,develop,drug-00607
hpo-03925,develop,gene-04314
hpo-03925,develop,gene-06310
hpo-03925,develop,hpo-10170
hpo-03925,develop,hpo-12857
hpo-03925,develop,hpo-13612
hpo-03925,develop,small_molecule-02455
hpo-03925,develop,small_molecule-36251
hpo-03925,differenti,hpo-13581
hpo-03925,disrupt,drug-00425
hpo-03925,encode,gene-08045
hpo-03925,encode,protein-14286
hpo-03925,enhance,gene-01164
hpo-03925,enhance,gene-03841
hpo-03925,enhance,small_molecule-08470
hpo-03925,enhance,small_molecule-08654
hpo-03925,enhance,small_molecule-11474
hpo-03925,enhance,small_molecule-56954
hpo-03925,exist,small_molecule-03081
hpo-03925,exist,small_molecule-04549
hpo-03925,expression,drug-00572
hpo-03925,expression,drug-01329
hpo-03925,expression,drug-08462
hpo-03925,expression,gene-00133
hpo-03925,expression,gene-00703
hpo-03925,expression,gene-00799
hpo-03925,expression,gene-02176
hpo-03925,expression,gene-02520
hpo-03925,expression,gene-02530
hpo-03925,expression,gene-02889
hpo-03925,expression,gene-02967
hpo-03925,expression,gene-03245
hpo-03925,expression,gene-03814
hpo-03925,expression,gene-03815
hpo-03925,expression,gene-03816
hpo-03925,expression,gene-03842
hpo-03925,expression,gene-04962
hpo-03925,expression,gene-05399
hpo-03925,expression,gene-05410
hpo-03925,expression,gene-05661
hpo-03925,expression,gene-05708
hpo-03925,expression,gene-07270
hpo-03925,expression,gene-08939
hpo-03925,expression,gene-11519
hpo-03925,expression,gene-21877
hpo-03925,expression,gene-24160
hpo-03925,expression,hpo-03803
hpo-03925,expression,hpo-13319
hpo-03925,expression,protein-03518
hpo-03925,expression,protein-07056
hpo-03925,expression,small_molecule-11587
hpo-03925,expression,small_molecule-13812
hpo-03925,expression,small_molecule-35284
hpo-03925,expression,small_molecule-55905
hpo-03925,feature,drug-00425
hpo-03925,feature,drug-08462
hpo-03925,feature,drug-10679
hpo-03925,feature,gene-03625
hpo-03925,feature,gene-03842
hpo-03925,feature,gene-07270
hpo-03925,feature,hpo-03632
hpo-03925,feature,hpo-03916
hpo-03925,feature,hpo-04112
hpo-03925,feature,hpo-04198
hpo-03925,feature,hpo-05246
hpo-03925,feature,hpo-08335
hpo-03925,feature,hpo-08875
hpo-03925,feature,hpo-10169
hpo-03925,feature,hpo-12544
hpo-03925,feature,hpo-13128
hpo-03925,feature,protein-03019
hpo-03925,feature,small_molecule-00413
hpo-03925,feature,small_molecule-04643
hpo-03925,feature,small_molecule-08470
hpo-03925,feature,small_molecule-08654
hpo-03925,focus,drug-04681
hpo-03925,focus,drug-07218
hpo-03925,focus,gene-00113
hpo-03925,focus,gene-05708
hpo-03925,found,hpo-12857
hpo-03925,found,small_molecule-08174
hpo-03925,gene,gene-05957
hpo-03925,gene,small_molecule-08347
hpo-03925,generate,small_molecule-06845
hpo-03925,have,drug-13509
hpo-03925,have,gene-05286
hpo-03925,have,hpo-12248
hpo-03925,identifi,disease-0285
hpo-03925,identifi,hpo-12824
hpo-03925,identifi,small_molecule-02847
hpo-03925,improve,drug-01049
hpo-03925,improve,gene-00277
hpo-03925,improve,gene-03841
hpo-03925,improve,hpo-04112
hpo-03925,improve,small_molecule-49987
hpo-03925,increase,drug-00070
